id;login;start_date;end_date;company;post;salary
1;bricks-and-clicks;2020-06-07;2020-06-08;Director killer;program Neck;59390
2;salmon;2020-06-08;2020-06-07;Heights reboot Colombia;Berkshire;59992
3;Handcrafted payment;2020-06-07;2020-06-08;white RAM Senegal;budgetary management;86372
4;Plastic sensor Refined Metal Gloves;2020-06-08;2020-06-07;Savings Account;Granite e-business interface;35827
5;solutions unleash;2020-06-07;2020-06-08;Mobility Bedfordshire;Music;4623
6;Steel;2020-06-08;2020-06-08;disintermediate background;workforce;35843
7;Buckinghamshire Guarani deliver;2020-06-08;2020-06-07;withdrawal Investment Account interface;parsing Bacon 6th generation;12569
8;payment interactive Colorado;2020-06-07;2020-06-08;payment actuating Engineer;Iowa overriding Cambridgeshire;85033
9;Global Tools Ergonomic;2020-06-08;2020-06-07;mission-critical;Intelligent users;81273
10;info-mediaries convergence;2020-06-08;2020-06-07;Music;e-enable Handmade;50768
