id;login;grade;start_date;end_date;school
1;compress;Customer deposit Frozen;2020-06-08;2020-06-07;synthesizing New York
2;National Diverse Unbranded Cotton Chair;deposit;2020-06-08;2020-06-08;Toys
3;national;GB deposit Managed;2020-06-07;2020-06-07;Computers
4;transmitting Buckinghamshire;harness Borders;2020-06-07;2020-06-08;XSS Central
5;schemas;data-warehouse;2020-06-08;2020-06-08;Bedfordshire GB Circle
6;Florida Universal;rich Personal Loan Account virtual;2020-06-08;2020-06-07;tan Indian Rupee Ngultrum
7;object-oriented Towels;Shoes intranet tan;2020-06-07;2020-06-08;Cambridgeshire
8;mesh Public-key;Mission ivory parse;2020-06-08;2020-06-07;XSS
9;Buckinghamshire Electronics;deposit Well Money Market Account;2020-06-08;2020-06-07;Movies
10;navigate collaborative Iceland;Handcrafted portal;2020-06-07;2020-06-07;Maine invoice Home Loan Account
