id;name;address;mobile;website;mail;status;rgno
1;Isle;Fantastic;connecting Personal Loan Account;payment Montserrat;backing up Rue;bypass withdrawal;Frozen
2;monitor teal Auto Loan Account;Handcrafted Executive matrix;content optical;Integrated;Research Small Corporate;enable;Steel Configuration Designer
3;system engine Australian Dollar;Wyoming invoice;card XML;Refined Fresh Towels Chilean Peso Unidades de fomento withdrawal;Handcrafted;Philippines;standardization tan deposit
4;China;District French Southern Territories;middleware next-generation;viral;platforms Grass-roots;HTTP;Central generating strategize
5;plum application;protocol;leverage copying architectures;THX generating Borders;composite;Granite;quantify
6;morph;Gorgeous California;Refined Cotton Sausages Solomon Islands Dollar;Grass-roots;monitor Montserrat Seamless;withdrawal structure;payment Central
7;internet solution;Cambridgeshire Customizable;bricks-and-clicks dynamic;indexing optical Rubber;Russian Ruble bypassing transitional;regional Response;Isle bricks-and-clicks
8;Keyboard Executive;target communities Toys;Intelligent Granite Hat;product harness Health;Pa'anga;Mississippi;programming
9;Polarised Corporate;local area network GB Investment Account;primary quantifying;Small Soft Pizza Dale;utilize;Pa'anga Electronics Chips;Handmade Granite Computer Associate
10;cross-platform;Generic withdrawal;calculate;generating Savings Account;Internal capability;Markets purple;red Gabon Focused
