id;user;post;exp_city;exp_salary;submit_time;status;education;specialty;graduation
1;disintermediate;Bacon teal;input Reverse-engineered;49057;2020-06-11T09:26:05;Unbranded;Product Shoes Alabama;matrix;62278
2;connecting;Checking Account end-to-end payment;bypassing;49250;2020-06-11T02:09:30;Checking Account payment;methodologies back up transmitter;Hat Iraq Infrastructure;17723
3;Wooden Chair;Colorado hardware;Squares Cook Islands Croatian Kuna;17776;2020-06-10T17:04:22;Gorgeous Unbranded Home Loan Account;mint green Shirt;programming Licensed Plastic Hat;43049
4;neural Borders;clicks-and-mortar violet;Thailand Centralized;37297;2020-06-10T21:48:55;pricing structure International Home;Computers;Norway synergistic Rufiyaa;52998
5;Global;orchestrate Health;black Producer;39203;2020-06-10T15:38:42;content-based compress compressing;Concrete Cape Verde Escudo alarm;Organized program Chair;175
6;Australian Dollar Credit Card Account backing up;Indiana Sleek;deposit toolset knowledge user;37621;2020-06-10T22:44:07;Intelligent Cotton Soap Creative;Shoes Future;Missouri transmitter web-enabled;10387
7;Cheese alarm;responsive;compressing;88466;2020-06-11T07:40:20;Enhanced Gloves Crossing;Guam Baby Lithuanian Litas;Directives Baby Multi-layered;36374
8;PCI Washington;Massachusetts Fork even-keeled;harness;93698;2020-06-10T20:58:06;Summit;Diverse;South Africa Proactive;82717
9;navigating plum revolutionize;HTTP North Carolina Sausages;Aruban Guilder;59469;2020-06-10T21:36:12;bluetooth reboot;International;orchid;8270
10;lavender De-engineered payment;bluetooth deliverables Keyboard;hacking optical;49118;2020-06-10T16:10:16;Customer Borders;Roads redundant;Dynamic Michigan optical;92679
