id;user;post;work_city;min_salary;max_salary;education;specialty;graduation;company;mail;status;submit_time;raquirement;remark
1;calculating AI;driver integrated enable;Health array Brand;59389;8742;New Hampshire interfaces;programming Reactive Borders;68010;matrices SMTP lime;reboot purple product;Venezuela;2020-06-10T19:58:45;../fake-data/blob/hipster.txt;Garden back-end
2;Automotive transmit target;bandwidth;Metal;16248;30201;exploit;next-generation;24111;impactful Cheese;Malaysian Ringgit;New York Tools Sports;2020-06-11T03:09:37;../fake-data/blob/hipster.txt;Configuration
3;Face to face;Generic South Georgia and the South Sandwich Islands azure;superstructure open-source;97510;30184;wireless transmit Program;Bike;19793;users Planner;teal Handcrafted Steel Towels Refined Metal Mouse;Cotton;2020-06-11T09:36:26;../fake-data/blob/hipster.txt;Uzbekistan
4;mobile;Dominica;hack;54728;85438;Accounts Beauty 1080p;Electronics SSL;39237;bypassing;SQL Shoes;Outdoors leverage;2020-06-10T15:46:07;../fake-data/blob/hipster.txt;24/7
5;compress;Colombian Peso Unidad de Valor Real synergy navigate;holistic Refined;67367;82201;Kyat;Tasty Steel Cheese Naira;9929;back-end;hack;Shoes hard drive;2020-06-11T09:38:28;../fake-data/blob/hipster.txt;Frozen complexity
6;Corner index fresh-thinking;quantify;mobile Surinam Dollar;199;85445;Networked mobile cutting-edge;French Southern Territories;39492;action-items SCSI;navigate Pants Hat;bypass analyzer;2020-06-11T09:12:32;../fake-data/blob/hipster.txt;Pizza Forges
7;leading-edge mobile Baby;Intelligent Granite Fish;Principal;17001;18472;RSS;invoice;47659;Architect;synthesizing Automotive;Paradigm integrate;2020-06-10T18:39:50;../fake-data/blob/hipster.txt;withdrawal maroon Ghana
8;Generic Checking Account;plum;Checking Account e-business AGP;82975;95548;Fresh;silver Horizontal;9278;Chicken;Yuan Renminbi;artificial intelligence mobile;2020-06-11T02:19:32;../fake-data/blob/hipster.txt;quantifying magenta Mississippi
9;Ouguiya;methodology Practical end-to-end;brand Small Wooden Fish;35723;55691;Senior synthesizing;Indiana generate empower;14739;azure HTTP Intuitive;Hat;Stravenue;2020-06-11T09:49:20;../fake-data/blob/hipster.txt;e-tailers Glens Guinea-Bissau
10;Managed Fish expedite;SAS;Singapore Table Rubber;66296;3532;mesh Swiss Franc interface;programming bandwidth;24303;Faroe Islands migration users;Paradigm framework mission-critical;methodology Buckinghamshire parsing;2020-06-11T06:51:02;../fake-data/blob/hipster.txt;Checking Account payment
